2021/02/21(Ultima actualización / Azken eguneratzea);
Udalerria / Municipio;Positiboak/Positivos;Biztanleak/Población;Tasa 100.000 biztanleko/Tasa por 100.000 habitantes;Hildakoak/Fallecidos;Hilkortasuna/Fatalidad;
ZALDUONDO;8;197;4060,9;0;0,0;;;;
ZALLA;445;8441;5271,9;7;1,6;;;;
ZAMBRANA;26;446;5829,6;1;3,8;;;;
ZAMUDIO;280;3313;8451,6;23;8,2;;;;
ZARATAMO;93;1647;5646,6;2;2,2;;;;
ZARAUTZ;1389;23347;5949,4;32;2,3;;;;
ZEANURI;48;1254;3827,8;0;0,0;;;;
ZEBERIO;67;1084;6180,8;8;11,9;;;;
ZEGAMA;116;1521;7626,6;2;1,7;;;;
ZESTOA;279;3894;7164,9;0;0,0;;;;
ZIERBENA;71;1524;4658,8;1;1,4;;;;
ZIGOITIA;81;1707;4745,2;1;1,2;;;;
ZIORTZA-BOLIBAR;27;439;6150,3;0;0,0;;;;
ZIZURKIL;191;3035;6293,2;1;0,5;;;;
ZUIA;231;2362;9779,8;19;8,2;;;;
ZUMAIA;673;9827;6848,5;10;1,5;;;;
ZUMARRAGA;693;9821;7056,3;24;3,5;;;;
OTROS;900;-;-;;;;;;
